county,county_fips,agency_type,agency_name,street,city
Clinton,36019,ambulance_als,Peru Fire District,PO Box 635,"Peru, NY 12972"
Clinton,36019,ambulance_als,"Plattsburgh, City of",65 Cornelia Street,"Plattsburgh, NY 12901"
Clinton,36019,ambulance_als,Rouses Point Fire Department,"P.O. Box 185, 139 Lake Street","Rouses Point, NY 12979"
Clinton,36019,ambulance_als,Saranac Fire District,PO Box 130,"Saranac, NY 12981"
Clinton,36019,ambulance_als,West Chazy Fire District,PO Box 185,"West Chazy, NY 12992"
Columbia,36021,ambulance_als,"Chatham Rescue Squad, Inc.",PO Box 587,"Ghent, NY 12075"
Columbia,36021,ambulance_als,"Clausson Raught Community Rescue Squad, Inc.",PO Box 327,"Copake, NY 12516"
Columbia,36021,ambulance_als,Columbia County EMS,85 Industrial Tract,"Hudson, NY 12534"
Columbia,36021,ambulance_als,"Greenport Rescue Squad, Inc.",PO Box 275,"Hudson, NY 12534"
Columbia,36021,ambulance_als,Lebanon Valley Auto Racing Corporation,PO Box 9,"West Lebanon, NY 12195"
Columbia,36021,ambulance_als,"Valatie Volunteer Rescue Squad, Inc.",PO Box 242,"Valatie, NY 12184"
Cortland,36023,ambulance_als,Cincinnatus Fire District,PO Box 239,"Cincinnatus, NY 13040"
Cortland,36023,ambulance_als,"Marathon Area Volunteer Ambulance Corps, Inc.",PO Box 132,"Marathon, NY 13803"
Cortland,36023,ambulance_als,"TLC Emergency Medical Services, Inc.",638 Burnett Avenue,"Syracuse, NY 13203"
Delaware,36025,ambulance_als,"Andes Fire Department, Inc.",PO Box 112,"Andes, NY 13731"
Delaware,36025,ambulance_als,Bloomville Fire Department Emergency Squad,243 Scotch Hill Rd,"Bloomville, NY 13739"
Delaware,36025,ambulance_als,Bovina Emergency Squad,PO Box 39,"Bovina Center, NY 13740"
Delaware,36025,ambulance_als,Delhi Fire Department Emergency Medical Services,PO Box 93,"Delhi, NY 13753"
Delaware,36025,ambulance_als,Downsville Fire District,PO Box 341,"Downsville, NY 13755"
Delaware,36025,ambulance_als,Emergency Squad #1 of the Sidney FD of Village of Sidney  Inc.,8 Patterson St,"Sidney, NY 13838"
Delaware,36025,ambulance_als,"Franklin Fire Department and Emergency Squad, Inc",PO Box 934,"Franklin, NY 13775"
Delaware,36025,ambulance_als,Grand Gorge Fire District,PO Box 301,"Grand Gorge, NY 12434"
Delaware,36025,ambulance_als,"Headwaters Emergency Medical Services, Inc.",65 Terry Road,"Stamford, NY 12167"
Delaware,36025,ambulance_als,"Hobart Fire Department Emergency Squad, Village of",PO Box 237,"Hobart, NY 13788"
